time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-22 00:00:00+00:00,76,26,0,0
2026-04-23 00:00:00+00:00,91,27,0,0
2026-04-24 00:00:00+00:00,73,23,0,0
2026-04-25 00:00:00+00:00,39,17,0,0
2026-04-26 00:00:00+00:00,35,11,0,0
2026-04-27 00:00:00+00:00,7,4,1,1
2026-04-28 00:00:00+00:00,16,7,6,2
2026-04-29 00:00:00+00:00,30,6,1,1
2026-04-30 00:00:00+00:00,38,10,1,1
2026-05-01 00:00:00+00:00,20,6,5,1
2026-05-02 00:00:00+00:00,42,12,3,1
2026-05-03 00:00:00+00:00,6,5,2,2
2026-05-04 00:00:00+00:00,3,3,1,1
2026-05-05 00:00:00+00:00,17,6,1,1
