url_path,views_total,views_unique
/Davis-Fan/X-Blossom,6,3
/Davis-Fan/X-Blossom/tree/main/.github/workflows,5,1
/Davis-Fan/X-Blossom/tree/github-repo-stats,4,1
/Davis-Fan/X-Blossom/tree/github-repo-stats/.github/workflows,4,1
/Davis-Fan/X-Blossom/tree/github-repo-stats/Davis-Fan/X-Blossom,3,1
/Davis-Fan/X-Blossom/tree/main/.github,3,1
/Davis-Fan/X-Blossom/blob/github-repo-stats/Davis-Fan/X-Blossom/latest-report/report.pdf,2,1
/Davis-Fan/X-Blossom/blob/main/.github/workflows/github-repo-stats.yml,2,1
/Davis-Fan/X-Blossom/tree/github-repo-stats/.github,2,1
/Davis-Fan/X-Blossom/tree/github-repo-stats/Davis-Fan/X-Blossom/latest-report,2,1
