time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-25 00:00:00+00:00,0,0,2,1
2025-06-27 00:00:00+00:00,0,0,1,1
2025-06-30 00:00:00+00:00,0,0,1,1
2025-07-01 00:00:00+00:00,0,0,1,1
2025-07-02 00:00:00+00:00,0,0,9,1
2025-07-04 00:00:00+00:00,1,1,60,2
2025-07-05 00:00:00+00:00,2,2,4,2
2025-07-07 00:00:00+00:00,6,6,36,1
2025-07-08 00:00:00+00:00,2,2,13,3
2025-07-09 00:00:00+00:00,5,5,24,2
2025-07-10 00:00:00+00:00,1,1,1,1
2025-07-11 00:00:00+00:00,7,7,6,3
2025-07-12 00:00:00+00:00,7,7,7,1
2025-07-13 00:00:00+00:00,0,0,11,2
